db_pull_logger - 2025-08-14 13:37:09,356 - INFO - if query loaded, return 714
db_pull_logger - 2025-08-14 13:40:32,573 - INFO - if query loaded, return 714
loop_logger - 2025-08-14 13:40:33,486 - INFO - no new rows founds!!
db_pull_logger - 2025-08-14 14:15:29,297 - INFO - if query loaded, return 715
loop_logger - 2025-08-14 14:15:29,576 - ERROR - Error in get_new_rows: module 'datetime' has no attribute 'now'
db_pull_logger - 2025-08-14 14:16:12,454 - INFO - if query loaded, return 715
loop_logger - 2025-08-14 14:16:12,736 - INFO - 1
db_pull_logger - 2025-08-14 14:22:17,897 - INFO - if query loaded, return 715
loop_logger - 2025-08-14 14:22:18,121 - INFO - no new rows founds!!
db_pull_logger - 2025-08-14 14:42:13,246 - INFO - if query loaded, return 715
loop_logger - 2025-08-14 14:42:13,469 - INFO - starting automateed looping: 60 seconds!
loop_logger - 2025-08-14 14:42:13,469 - INFO - starting to find new rows at 2025-08-14 14:42:13.469883
loop_logger - 2025-08-14 14:42:13,489 - INFO - no new rows founds!!
loop_logger - 2025-08-14 14:42:13,489 - INFO - waiting for 60
loop_logger - 2025-08-14 14:43:13,490 - INFO - starting to find new rows at 2025-08-14 14:43:13.490642
loop_logger - 2025-08-14 14:43:13,512 - INFO - no new rows founds!!
loop_logger - 2025-08-14 14:43:13,513 - INFO - waiting for 60
loop_logger - 2025-08-14 14:44:13,514 - INFO - starting to find new rows at 2025-08-14 14:44:13.514865
loop_logger - 2025-08-14 14:44:13,587 - INFO - 1
loop_logger - 2025-08-14 14:44:13,587 - INFO - waiting for 60
loop_logger - 2025-08-14 14:45:13,589 - INFO - starting to find new rows at 2025-08-14 14:45:13.589025
loop_logger - 2025-08-14 14:45:13,603 - INFO - no new rows founds!!
loop_logger - 2025-08-14 14:45:13,603 - INFO - waiting for 60
loop_logger - 2025-08-14 14:46:13,605 - INFO - starting to find new rows at 2025-08-14 14:46:13.605845
loop_logger - 2025-08-14 14:46:13,625 - INFO - no new rows founds!!
loop_logger - 2025-08-14 14:46:13,626 - INFO - waiting for 60
loop_logger - 2025-08-14 14:47:13,628 - INFO - starting to find new rows at 2025-08-14 14:47:13.628201
loop_logger - 2025-08-14 14:47:13,654 - INFO - no new rows founds!!
loop_logger - 2025-08-14 14:47:13,655 - INFO - waiting for 60
loop_logger - 2025-08-14 14:48:13,657 - INFO - starting to find new rows at 2025-08-14 14:48:13.657886
loop_logger - 2025-08-14 14:48:13,677 - INFO - no new rows founds!!
loop_logger - 2025-08-14 14:48:13,679 - INFO - waiting for 60
loop_logger - 2025-08-14 14:49:13,680 - INFO - starting to find new rows at 2025-08-14 14:49:13.680730
